,ID,Startzeit,Fertigstellungszeit,Schulform,Alter,"Schulstufe (1. Jg HTL oder Fachschule = 9. Schulstufe, 4. Jg = 12. Schulstufe); für Kolleg bzw. Tageskolleg bitte >13 wählen",Geschlecht,Ich finde Onlineunterricht (alle Schüler/innen/Studierende sind zuhause) im Allgemeinen genauso gut wie normalen Unterricht (Präsenzunterricht). 5 Sterne = trifft voll zu,"Gib an, wie gut deine Bedingungen zum Onlinelernen zuhause sind (Computer, Internet, angenehmer Arbeitsplatz). 5 Sterne = sehr gut",Ich nehme am Onlineunterricht normalerweise über einen Laptop von zuhause aus teil. (5 trifft voll zu),"Gib an, ob der Onlineunterricht für dich im Allgemeinen anstrengender ist als Präsenzunterricht (5 Sterne = trifft voll zu)","Gib an, ob die Arbeitsbelastung für die Schule durch den Onlineunterricht im Allgemeinen  zunimmt (5 Sterne = sehr stark)",dass er nicht zeitig in der Früh ist,dass ich zuhause Ruhe habe,dass oft genug eine Pause eingelegt wird,dass der Unterricht gut strukturiert ist,"dass Onlineübungen eingebunden sind, die nicht bewertet sind, z.B. ein paar Fragen, wo man erfährt, ob sie stimmen, oder nicht, die aber nicht bewertet werden",dass Spiele in den Unterricht eingebunden werden,"dass es Arbeitsaufträge gibt, bei denen ich mit einem oder mehreren meiner Mitschüler/innen zusammenarbeite","dass klar ist, welche Leistungen zu erbringen sind","Wenn ich etwas Privates vom Lehrer/der Lehrerin mitbekomme (z.B. Kinder, Haustiere im Hintergrund etc.)",wenn ich im Onlineunterricht namentlich angesprochen werden,"wenn der Lehrer/die Lehrerin zeigt bzw. zugibt, dass sie sich irgendwo nicht auskennt",wenn ich im Unterricht gelobt werde,wenn andere im Onlineunterricht gelobt werden,"Ergänze hier Faktoren, die deine Freude am Onlineunterricht erhöhen, die bei Frage 12 nicht genannt sind.","Kreuze an, welche Vorteile der Unterricht im Klassenzimmer gegenüber dem Onlineunterricht hat.","Wenn du bei Frage 14 ""Sonstige"" angekreuzt hast, gib an, was du dabei gemeint hast.","Hast du den Eindruck, dass  ältere Lehrkräfte (>35 Jahre) im Allgemeinen schlechter mit der Gestaltung des  Onlineunterrichts zurecht kommen tun als jüngere Lehrkräfte? (5 Sterne= trifft voll zu)","Ich fände es gut, wenn auch in Zukunft ein Teil des Unterrichts online stattfindet (5 Sterne = trifft voll zu)",Kommentare,Schule
322,38,2021-03-20 17:07:51,2021-03-20 17:17:26,Fachschule,16-17,11,männlich,4.0,4.0,4.0,2.0,4.0,egal,wichtig,egal,wichtig,wichtig,egal,egal,wichtig,egal,egal,egal,egal,egal,Das entweder jeder zuhause ist oder jeder in der Schule ist da wenn man zuhause ist und die andere Gruppe in der Schule ist man von zuhause fast nichts vom unterricht mitbekommt,Nachfragen einfacher;Zusammenarbeit mit Mitschüler/innen einfacher;direktes Gespräch mit Lehrkraft möglich;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;,,3.0,1.0,Ich finde es wie schon gesagt besser wenn entweder alle online oder alle in der Schule gleichzeitig Unterricht haben und man nicht so einen aufgeteilten Unterricht hat,bautechnikum
323,39,2021-03-20 17:25:22,2021-03-20 17:30:00,Fachschule,16-17,11,weiblich,3.0,5.0,5.0,3.0,4.0,nicht wichtig,wichtig,wichtig,sehr wichtig,sehr wichtig,egal,egal,sehr wichtig,gar nicht wichtig,egal,nicht wichtig,wichtig,wichtig,,direktes Gespräch mit Lehrkraft möglich;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,2.0,3.0,,bautechnikum
324,40,2021-03-20 18:06:50,2021-03-20 18:09:39,Fachschule,18-20,13,männlich,1.0,3.0,5.0,1.0,1.0,egal,sehr wichtig,sehr wichtig,wichtig,wichtig,egal,gar nicht wichtig,egal,egal,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,Y,direktes Gespräch mit Lehrkraft möglich;Zusammenarbeit mit Mitschüler/innen einfacher;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;,,5.0,5.0,,bautechnikum
325,41,2021-03-21 19:29:02,2021-03-21 19:35:19,Fachschule,18-20,11,männlich,2.0,4.0,5.0,5.0,5.0,egal,wichtig,wichtig,wichtig,egal,gar nicht wichtig,egal,sehr wichtig,egal,egal,wichtig,egal,egal,,direktes Gespräch mit Lehrkraft möglich;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,2.0,1.0,,bautechnikum
326,1,2021-03-11 20:05:16,2021-03-11 20:07:13,Abendkolleg,18-20,>13,,5.0,5.0,1.0,1.0,2.0,wichtig,wichtig,wichtig,sehr wichtig,wichtig,egal,gar nicht wichtig,sehr wichtig,wichtig,nicht wichtig,,egal,nicht wichtig,,Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;,,3.0,5.0,,l2
327,2,2021-03-11 20:50:02,2021-03-11 20:52:11,Abendkolleg,>20,>13,männlich,4.0,4.0,5.0,4.0,2.0,egal,sehr wichtig,egal,sehr wichtig,wichtig,egal,egal,sehr wichtig,egal,sehr wichtig,sehr wichtig,wichtig,wichtig,,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,2.0,3.0,,l2
328,3,2021-03-11 21:02:41,2021-03-11 21:07:17,Abendkolleg,18-20,>13,weiblich,4.0,4.0,5.0,3.0,3.0,wichtig,wichtig,sehr wichtig,sehr wichtig,wichtig,wichtig,nicht wichtig,sehr wichtig,egal,gar nicht wichtig,wichtig,sehr wichtig,sehr wichtig,,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;ruhigere Arbeitsumgebung als zuhause;Nachfragen einfacher;Sonstige;,"Motivation, an Aufgaben zu arbeiten; Austausch mit Kollegen/innen;",3.0,2.0,,l2
329,4,2021-03-12 21:26:01,2021-03-12 21:29:54,Abendkolleg,>20,>13,männlich,4.0,5.0,1.0,4.0,2.0,sehr wichtig,wichtig,sehr wichtig,wichtig,wichtig,nicht wichtig,gar nicht wichtig,sehr wichtig,wichtig,wichtig,sehr wichtig,nicht wichtig,nicht wichtig,"Wenn alle Teilnehmer sichtbar sind
Wenn ich nicht stellvertretend für die Klasse mitarbeite",keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Sonstige;,"Socialising 
Bessere Stunden/Pausenstruktur",4.0,5.0,"Wenn Lehrer geteilte Aufmerksamkeit haben (Teams vs. Klasse) wenn nur ein Teil der Klasse vor Ort im Klassenzimmer ist, senkt das meine Motivation in die Schule zu kommen - ich könnte genauso gut im Pyjama von Zuhause teilnehmen und mir die Fahrzeit sparen
",l2
330,5,2021-03-13 17:51:04,2021-03-13 18:00:23,Abendkolleg,>20,>13,männlich,3.0,5.0,5.0,2.0,5.0,egal,wichtig,wichtig,wichtig,sehr wichtig,sehr wichtig,wichtig,wichtig,egal,egal,nicht wichtig,nicht wichtig,wichtig,,direktes Gespräch mit Lehrkraft möglich;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,2.0,4.0,,l2
331,6,2021-03-14 15:23:30,2021-03-14 15:35:05,Abendkolleg,>20,>13,,4.0,3.0,5.0,2.0,4.0,wichtig,egal,wichtig,wichtig,wichtig,wichtig,sehr wichtig,sehr wichtig,nicht wichtig,egal,wichtig,egal,egal,,Zusammenarbeit mit Mitschüler/innen einfacher;,,2.0,5.0,,l2
332,7,2021-03-16 15:58:49,2021-03-16 16:07:01,Abendkolleg,>20,>13,männlich,5.0,5.0,5.0,2.0,1.0,egal,sehr wichtig,egal,sehr wichtig,egal,egal,gar nicht wichtig,sehr wichtig,nicht wichtig,egal,nicht wichtig,nicht wichtig,wichtig,,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,,4.0,,l2
333,8,2021-03-16 18:21:18,2021-03-16 18:26:22,Abendkolleg,>20,>13,männlich,3.0,3.0,5.0,3.0,2.0,sehr wichtig,egal,wichtig,wichtig,egal,egal,gar nicht wichtig,sehr wichtig,wichtig,egal,egal,egal,egal,,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,1.0,5.0,,l2
334,9,2021-03-16 18:41:07,2021-03-16 18:43:31,HTL,18-20,>13,weiblich,5.0,4.0,5.0,1.0,1.0,wichtig,sehr wichtig,wichtig,wichtig,egal,wichtig,nicht wichtig,sehr wichtig,egal,wichtig,egal,sehr wichtig,sehr wichtig,,Zusammenarbeit mit Mitschüler/innen einfacher;,,1.0,5.0,,l2
335,10,2021-03-16 18:49:55,2021-03-16 18:54:15,Abendkolleg,>20,>13,weiblich,5.0,5.0,5.0,3.0,4.0,egal,wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,gar nicht wichtig,wichtig,wichtig,egal,egal,"Offenes, lockeres Miteinander find ich am wichtigsten. ",Zusammenarbeit mit Mitschüler/innen einfacher;,,3.0,5.0,,l2
336,11,2021-03-16 20:28:56,2021-03-16 20:32:01,Abendkolleg,>20,>13,männlich,4.0,5.0,5.0,1.0,1.0,sehr wichtig,wichtig,egal,wichtig,egal,wichtig,egal,wichtig,egal,egal,egal,egal,wichtig,,Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,4.0,5.0,,l2
337,12,2021-03-17 17:25:18,2021-03-17 17:28:41,Abendkolleg,>20,>13,männlich,5.0,5.0,5.0,1.0,1.0,sehr wichtig,sehr wichtig,egal,wichtig,egal,wichtig,egal,sehr wichtig,egal,egal,gar nicht wichtig,egal,egal,,Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,1.0,5.0,,l2
338,13,2021-03-17 18:46:29,2021-03-17 18:50:47,Abendkolleg,18-20,>13,weiblich,4.0,5.0,5.0,4.0,4.0,wichtig,nicht wichtig,wichtig,wichtig,egal,gar nicht wichtig,gar nicht wichtig,wichtig,egal,wichtig,nicht wichtig,egal,egal,,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Nachfragen einfacher;,,3.0,5.0,,l2
339,2,2021-03-09 13:14:13,2021-03-09 13:20:00,HTL,16-17,11,männlich,4.0,4.0,5.0,2.0,4.0,egal,wichtig,sehr wichtig,wichtig,egal,egal,wichtig,wichtig,gar nicht wichtig,egal,egal,egal,egal,,,,2.0,4.0,,TGM
340,3,2021-03-15 08:03:29,2021-03-15 08:07:07,HTL,16-17,11,männlich,3.0,5.0,5.0,3.0,3.0,egal,sehr wichtig,wichtig,wichtig,wichtig,wichtig,sehr wichtig,sehr wichtig,egal,sehr wichtig,wichtig,wichtig,wichtig,,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;,,3.0,1.0,,TGM
341,4,2021-03-15 08:03:25,2021-03-15 08:14:50,HTL,16-17,11,männlich,5.0,5.0,1.0,1.0,1.0,egal,sehr wichtig,egal,wichtig,nicht wichtig,gar nicht wichtig,egal,sehr wichtig,gar nicht wichtig,egal,sehr wichtig,egal,egal,Effektiveres Arbeiten im Gegensatz zum Präsensunterricht,Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;,,3.0,5.0,,TGM
342,5,2021-03-15 08:12:03,2021-03-15 08:15:49,HTL,16-17,11,männlich,5.0,5.0,5.0,3.0,2.0,egal,sehr wichtig,sehr wichtig,wichtig,egal,nicht wichtig,sehr wichtig,wichtig,gar nicht wichtig,wichtig,wichtig,wichtig,wichtig,,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,1.0,3.0,,TGM
343,6,2021-03-15 08:13:01,2021-03-15 08:15:55,HTL,16-17,11,männlich,3.0,5.0,5.0,4.0,2.0,wichtig,wichtig,egal,wichtig,wichtig,egal,egal,wichtig,nicht wichtig,egal,egal,egal,egal,,direktes Gespräch mit Lehrkraft möglich;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,2.0,4.0,,TGM
344,7,2021-03-15 08:11:56,2021-03-15 08:16:52,HTL,16-17,11,männlich,5.0,5.0,5.0,2.0,2.0,sehr wichtig,wichtig,wichtig,wichtig,nicht wichtig,egal,wichtig,sehr wichtig,nicht wichtig,egal,egal,egal,egal,,,,3.0,5.0,,TGM
345,8,2021-03-15 08:03:25,2021-03-15 08:16:59,HTL,16-17,11,männlich,3.0,2.0,4.0,4.0,4.0,egal,sehr wichtig,wichtig,sehr wichtig,wichtig,sehr wichtig,wichtig,sehr wichtig,nicht wichtig,nicht wichtig,wichtig,wichtig,wichtig,Wenn der Leistungsdruck nicht zu hoch ist,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;ruhigere Arbeitsumgebung als zuhause;Nachfragen einfacher;,,4.0,2.0,,TGM
346,9,2021-03-15 08:16:21,2021-03-15 08:18:42,HTL,18-20,11,männlich,4.0,5.0,4.0,3.0,3.0,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,egal,egal,wichtig,sehr wichtig,egal,egal,wichtig,nicht wichtig,gar nicht wichtig,,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,4.0,3.0,,TGM
347,10,2021-03-15 08:14:14,2021-03-15 08:21:07,HTL,16-17,11,männlich,2.0,5.0,4.0,2.0,1.0,egal,sehr wichtig,wichtig,egal,wichtig,nicht wichtig,egal,sehr wichtig,gar nicht wichtig,egal,wichtig,wichtig,wichtig,"Spannende Arbeitsaufträge, nicht zu lange online-Vorträge",direktes Gespräch mit Lehrkraft möglich;Nachfragen einfacher;Sonstige;,strikte Arbeitszeiten,3.0,5.0,,TGM
348,11,2021-03-15 08:18:32,2021-03-15 08:22:57,HTL,16-17,11,männlich,4.0,5.0,4.0,2.0,4.0,egal,wichtig,wichtig,wichtig,egal,nicht wichtig,wichtig,sehr wichtig,egal,egal,egal,egal,egal,,direktes Gespräch mit Lehrkraft möglich;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,1.0,5.0,,TGM
349,12,2021-03-15 08:19:21,2021-03-15 08:23:36,HTL,16-17,12,männlich,1.0,3.0,1.0,3.0,2.0,wichtig,sehr wichtig,egal,sehr wichtig,wichtig,nicht wichtig,sehr wichtig,sehr wichtig,egal,wichtig,wichtig,wichtig,wichtig,-,direktes Gespräch mit Lehrkraft möglich;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,4.0,3.0,,TGM
350,13,2021-03-15 08:18:36,2021-03-15 08:23:37,HTL,18-20,11,männlich,3.0,4.0,1.0,2.0,3.0,nicht wichtig,wichtig,sehr wichtig,sehr wichtig,sehr wichtig,egal,sehr wichtig,sehr wichtig,egal,nicht wichtig,egal,egal,egal,,,,4.0,1.0,,TGM
351,14,2021-03-15 08:18:52,2021-03-15 08:24:00,HTL,16-17,11,männlich,1.0,5.0,1.0,5.0,5.0,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,wichtig,sehr wichtig,gar nicht wichtig,gar nicht wichtig,gar nicht wichtig,gar nicht wichtig,gar nicht wichtig,.,Zusammenarbeit mit Mitschüler/innen einfacher;ruhigere Arbeitsumgebung als zuhause;Nachfragen einfacher;direktes Gespräch mit Lehrkraft möglich;,,5.0,3.0,Gar kein bock mehr eigentlich auf Onlineunterricht.,TGM
352,15,2021-03-15 08:19:51,2021-03-15 08:24:11,HTL,16-17,11,männlich,3.0,3.0,2.0,4.0,4.0,egal,sehr wichtig,wichtig,wichtig,wichtig,sehr wichtig,sehr wichtig,egal,nicht wichtig,nicht wichtig,egal,wichtig,wichtig,,keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;ruhigere Arbeitsumgebung als zuhause;Nachfragen einfacher;Sonstige;,Leistungsdruck da man sieht wie weit die anderen sind,4.0,1.0,,TGM
353,16,2021-03-15 08:16:53,2021-03-15 08:27:55,HTL,16-17,11,männlich,5.0,5.0,5.0,2.0,1.0,egal,wichtig,wichtig,wichtig,sehr wichtig,nicht wichtig,wichtig,sehr wichtig,gar nicht wichtig,egal,gar nicht wichtig,wichtig,wichtig,,Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;,,1.0,5.0,,TGM
354,17,2021-03-15 08:14:37,2021-03-15 08:43:18,HTL,16-17,11,männlich,2.0,3.0,1.0,3.0,2.0,wichtig,sehr wichtig,egal,wichtig,sehr wichtig,sehr wichtig,egal,sehr wichtig,nicht wichtig,egal,sehr wichtig,sehr wichtig,sehr wichtig,"- Nicht so ernst und streng sein :)
- humorvoller Unterricht
- wenn viele mitmachen (z.B. in Teams nicht nur 3 von 25 Schülern antworten)",direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;Sonstige;,- Lern-atmosphärischer,5.0,4.0,"Das Problem am Onlineunterricht ist bei mir, dass ich schneller die Motivation verliere und somit weniger für die Schule mache. Am Ende habe ich dadurch sehr viel Stress :/. Mir ist zwar klar, dass ich früher beginnen sollte, habe es mir sogar vorgenommen und war vor dem Semester motiviert, jedoch am Start des Semesters hatte ich keinen Anreiz mehr etwas zu machen.
Aber trotzdem finde ich Onlineunterricht eine sehr gute Idee, da ich zumindest mein privates Leben besser im Griff bekommen habe als davor. (z.B. im Bezug auf mein Schlafrhythmus, soziale Kontakte, ...)",TGM
355,18,2021-03-15 10:10:42,2021-03-15 10:14:21,HTL,16-17,11,männlich,4.0,3.0,1.0,1.0,4.0,wichtig,sehr wichtig,wichtig,wichtig,wichtig,egal,sehr wichtig,sehr wichtig,wichtig,egal,egal,wichtig,wichtig,Fällt mir nichts ein.,direktes Gespräch mit Lehrkraft möglich;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,3.0,3.0,,TGM
356,19,2021-03-15 10:11:08,2021-03-15 10:14:40,HTL,18-20,11,männlich,2.0,2.0,5.0,4.0,4.0,gar nicht wichtig,wichtig,wichtig,sehr wichtig,sehr wichtig,egal,wichtig,sehr wichtig,egal,egal,sehr wichtig,egal,egal,,Zusammenarbeit mit Mitschüler/innen einfacher;ruhigere Arbeitsumgebung als zuhause;Nachfragen einfacher;,,3.0,5.0,,TGM
357,20,2021-03-15 10:11:06,2021-03-15 10:15:50,HTL,16-17,11,weiblich,4.0,4.0,5.0,4.0,5.0,wichtig,wichtig,wichtig,sehr wichtig,sehr wichtig,egal,wichtig,sehr wichtig,wichtig,wichtig,wichtig,wichtig,wichtig,"Pausen, keine zusätzlichen Hausübungen (da man eh schon den ganzen Tag arbeiten muss), Mitarbeit mehr gewährtet (aber nicht negativ auswirkt)",Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,4.0,5.0,,TGM
358,21,2021-03-15 10:12:25,2021-03-15 10:16:24,HTL,18-20,11,männlich,4.0,5.0,5.0,5.0,4.0,sehr wichtig,wichtig,wichtig,sehr wichtig,wichtig,gar nicht wichtig,sehr wichtig,egal,gar nicht wichtig,nicht wichtig,nicht wichtig,nicht wichtig,nicht wichtig,"Kurz, bitte mach Shisha auf.",direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;ruhigere Arbeitsumgebung als zuhause;Nachfragen einfacher;,,1.0,4.0,,TGM
359,22,2021-03-15 10:11:01,2021-03-15 10:16:26,HTL,16-17,11,männlich,3.0,4.0,5.0,3.0,2.0,sehr wichtig,sehr wichtig,wichtig,sehr wichtig,wichtig,nicht wichtig,egal,sehr wichtig,egal,egal,wichtig,wichtig,wichtig,,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Nachfragen einfacher;,,4.0,2.0,,TGM
360,23,2021-03-15 10:12:16,2021-03-15 10:16:44,HTL,16-17,11,männlich,5.0,2.0,5.0,2.0,5.0,gar nicht wichtig,wichtig,sehr wichtig,wichtig,sehr wichtig,gar nicht wichtig,egal,sehr wichtig,gar nicht wichtig,gar nicht wichtig,gar nicht wichtig,gar nicht wichtig,gar nicht wichtig,"Das der Stoff nicht zu schnell durchgenommen wird, man sich also nicht dauernd überfordert fühlt. 

Das darauf geachtet wird, das technische Geräte manchmal nicht optimal funktionieren

",direktes Gespräch mit Lehrkraft möglich;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Nachfragen einfacher;,,4.0,5.0,,TGM
361,24,2021-03-15 10:11:30,2021-03-15 10:16:58,HTL,16-17,11,männlich,3.0,5.0,5.0,4.0,3.0,wichtig,egal,sehr wichtig,wichtig,egal,sehr wichtig,sehr wichtig,sehr wichtig,egal,egal,sehr wichtig,wichtig,egal,klare aufgabenstellung und Gute unterlagen,direktes Gespräch mit Lehrkraft möglich;Zusammenarbeit mit Mitschüler/innen einfacher;,,3.0,2.0,,TGM
362,25,2021-03-15 10:10:47,2021-03-15 10:18:48,HTL,16-17,11,männlich,3.0,4.0,1.0,3.0,3.0,sehr wichtig,sehr wichtig,nicht wichtig,wichtig,wichtig,sehr wichtig,sehr wichtig,sehr wichtig,egal,wichtig,sehr wichtig,egal,egal,Klare Aufgabenstellungen.,direktes Gespräch mit Lehrkraft möglich;,,4.0,5.0,,TGM
363,26,2021-03-15 10:15:59,2021-03-15 10:18:55,HTL,16-17,11,männlich,5.0,3.0,5.0,2.0,4.0,sehr wichtig,sehr wichtig,sehr wichtig,wichtig,nicht wichtig,gar nicht wichtig,wichtig,sehr wichtig,gar nicht wichtig,gar nicht wichtig,egal,egal,gar nicht wichtig,,direktes Gespräch mit Lehrkraft möglich;Nachfragen einfacher;,,4.0,5.0,,TGM
364,27,2021-03-15 10:18:38,2021-03-15 10:20:08,HTL,16-17,11,männlich,3.0,5.0,1.0,2.0,3.0,wichtig,sehr wichtig,sehr wichtig,nicht wichtig,nicht wichtig,egal,sehr wichtig,sehr wichtig,egal,nicht wichtig,sehr wichtig,wichtig,wichtig,"Alles was erklärt wurde noch zum nachlernen in PDF Form hochzuladen, dass man wenn man was verpasst hat nachholen kann",direktes Gespräch mit Lehrkraft möglich;Sonstige;,"Allgemeine Kommunikation zwischen Lehrer und Schüler, was man jetzt genau zu tun hat.",4.0,5.0,"Ich sehe die aktuelle Probleme im DL, doch kann man glaub ich daraus noch mehr machen und ich sehr viel Potenzial rausholen kann.",TGM
365,28,2021-03-15 10:10:57,2021-03-15 10:20:51,HTL,18-20,11,männlich,5.0,5.0,4.0,1.0,2.0,sehr wichtig,sehr wichtig,wichtig,egal,wichtig,nicht wichtig,egal,wichtig,nicht wichtig,egal,egal,wichtig,wichtig,,Sonstige;,"Keine. Unterricht in der Schule, vor allem in diesen Zeiten, ist bullshit ",4.0,5.0,Online Unterricht ist an und für sich ein super Konzept nur gibt es dann Lehrkräfte die meinen das es Lustig ist die Schüler mit extra Stoff zu misshandeln und auf die Anweisungen des AV zu scheißen.,TGM
366,29,2021-03-15 10:11:00,2021-03-15 10:21:01,HTL,16-17,11,männlich,5.0,5.0,5.0,2.0,2.0,wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,egal,gar nicht wichtig,sehr wichtig,sehr wichtig,sehr wichtig,,Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;,,2.0,5.0,,TGM
367,30,2021-03-15 10:14:40,2021-03-15 10:21:04,HTL,16-17,11,weiblich,2.0,5.0,1.0,3.0,3.0,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,nicht wichtig,sehr wichtig,sehr wichtig,gar nicht wichtig,gar nicht wichtig,egal,wichtig,wichtig,,direktes Gespräch mit Lehrkraft möglich;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Zusammenarbeit mit Mitschüler/innen einfacher;,,2.0,5.0,,TGM
368,31,2021-03-15 10:12:14,2021-03-15 10:21:15,HTL,16-17,11,männlich,5.0,4.0,5.0,1.0,1.0,wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,egal,gar nicht wichtig,sehr wichtig,sehr wichtig,sehr wichtig,,Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;,,2.0,5.0,Ich mag Online-Unterricht,TGM
369,32,2021-03-15 10:10:45,2021-03-15 10:22:02,HTL,16-17,11,weiblich,1.0,4.0,1.0,5.0,3.0,wichtig,sehr wichtig,wichtig,wichtig,sehr wichtig,egal,egal,sehr wichtig,egal,egal,egal,egal,egal,,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;ruhigere Arbeitsumgebung als zuhause;Sonstige;,Generell eine andere Arbeitsumgebung/atmosphäre; Interaktion mit Lehrkraft allgemein einfacher; nicht so anstrengend weil man nicht den ganzen Tag vor dem Computer sitzt; Interaktionen in der Klasse ganz anders,2.0,1.0,,TGM
370,33,2021-03-15 10:11:12,2021-03-15 10:25:35,HTL,16-17,11,männlich,1.0,1.0,2.0,5.0,5.0,wichtig,wichtig,sehr wichtig,wichtig,wichtig,gar nicht wichtig,sehr wichtig,sehr wichtig,egal,egal,wichtig,wichtig,wichtig,"Mehr rausgehen, Nicht 10+ Stunden pro Tag vor dem Rechner verbringen müssen, nicht in jedem Fach Arbeitsaufträge bekommen die ein paar Stunden jeweils in Anspruch nehmen, Mehr pausen, im Lernbüro nicht nur an einem Tag ein fach abgeben können sondern an mehreren.",direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Nachfragen einfacher;Sonstige;,Im Lernbüro kann man flexiblere Abgabezeiten haben,3.0,3.0,,TGM
371,34,2021-03-15 10:11:15,2021-03-15 10:26:58,HTL,16-17,11,männlich,1.0,4.0,5.0,4.0,4.0,sehr wichtig,sehr wichtig,wichtig,sehr wichtig,egal,egal,wichtig,sehr wichtig,egal,egal,wichtig,egal,egal,,Nachfragen einfacher;,,3.0,1.0,,TGM
